INFO 2023-04-10 02:30:38,424 "GET /static/plugins/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 304 0
INFO 2023-04-10 02:30:38,424 "GET /static/plugins/overlayScrollbars/css/OverlayScrollbars.min.css HTTP/1.1" 304 0
INFO 2023-04-10 02:30:38,427 "GET /static/dist/img/login.png HTTP/1.1" 304 0
INFO 2023-04-10 02:30:38,427 "GET /static/dist/css/login-page.css HTTP/1.1" 304 0
INFO 2023-04-10 02:30:38,432 "GET /static/dist/js/demo.js HTTP/1.1" 304 0
INFO 2023-04-10 02:30:38,465 "GET /static/plugins/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 304 0
INFO 2023-04-10 02:30:45,856 "POST /accounts/login/ HTTP/1.1" 302 0
INFO 2023-04-10 02:30:45,912 "GET /corecode/ HTTP/1.1" 200 9743
INFO 2023-04-10 02:30:45,990 "GET /static/plugins/overlayScrollbars/css/OverlayScrollbars.min.css HTTP/1.1" 304 0
INFO 2023-04-10 02:30:46,017 "GET /static/plugins/fontawesome-free/css/all.min.css HTTP/1.1" 304 0
INFO 2023-04-10 02:30:46,038 "GET /static/plugins/jquery/jquery.min.js HTTP/1.1" 304 0
INFO 2023-04-10 02:30:46,080 "GET /static/dist/css/adminlte.min.css HTTP/1.1" 304 0
INFO 2023-04-10 02:30:46,107 "GET /static/plugins/toastr/toastr.min.css HTTP/1.1" 304 0
INFO 2023-04-10 02:30:46,123 "GET /static/plugins/Datatables/datatables.min.css HTTP/1.1" 200 25807
INFO 2023-04-10 02:30:46,157 "GET /static/plugins/bootstrap/js/bootstrap.bundle.min.js HTTP/1.1" 304 0
INFO 2023-04-10 02:30:46,184 "GET /static/dist/js/jquery.formset.js HTTP/1.1" 304 0
INFO 2023-04-10 02:30:46,211 "GET /static/plugins/toastr/toastr.min.js HTTP/1.1" 304 0
INFO 2023-04-10 02:30:46,228 "GET /static/dist/js/adminlte.js HTTP/1.1" 304 0
INFO 2023-04-10 02:30:46,269 "GET /static/plugins/overlayScrollbars/js/jquery.overlayScrollbars.min.js HTTP/1.1" 304 0
INFO 2023-04-10 02:30:46,318 "GET /static/dist/js/demo.js HTTP/1.1" 304 0
INFO 2023-04-10 02:30:46,455 "GET /static/plugins/fontawesome-free/webfonts/fa-regular-400.woff2 HTTP/1.1" 200 13584
INFO 2023-04-10 02:30:46,684 "GET /static/plugins/Datatables/datatables.min.js HTTP/1.1" 200 2042927
INFO 2023-04-10 02:31:56,794 "GET /finance/list/ HTTP/1.1" 200 10411
